BioProject	Run	Common Name
PRJNA609577	SRR11301725	R168
PRJNA609577	SRR11301726	N28
PRJNA609577	SRR11301727	H95
PRJNA609577	SRR11301728	C123
PRJNA609577	SRR11301729	WF9
PRJNA609577	SRR11301730	VA59
PRJNA609577	SRR11301731	Va17
PRJNA609577	SRR11301732	LD61
PRJNA609577	SRR11301735	LH212Ht
PRJNA609577	SRR11301736	LH212Ht
PRJNA609577	SRR11301741	Wu105
PRJNA609577	SRR11301743	LH208
PRJNA609577	SRR11301744	LH208
PRJNA609577	SRR11301745	LH181
PRJNA609577	SRR11301746	LH181
PRJNA609577	SRR11301747	LH128
PRJNA609577	SRR11301748	LH128
PRJNA609577	SRR11301749	NL001
PRJNA609577	SRR11301750	NL001
PRJNA609577	SRR11301751	BCC03
PRJNA609577	SRR11301752	75_1
PRJNA609577	SRR11301753	BCC03
PRJNA609577	SRR11301754	PHV07
PRJNA609577	SRR11301755	PHV07
PRJNA609577	SRR11301756	PHP76
PRJNA609577	SRR11301757	PHP76
PRJNA609577	SRR11301758	PHJ65
PRJNA609577	SRR11301759	PHJ65
PRJNA609577	SRR11301760	LH191
PRJNA609577	SRR11301761	Nan21_3
